year,region,tags,title,background,content,effect
2023,서울특별시 도봉구,청년,청년 All-In-One 인턴십 지원사업,"구직 청년의 일자리 경험 및 취업 경쟁력 향상을 위해 프로그램을 마련함
해외·공공·기업 실무 등 다양한 일자리 경험을 제공하고자 함","사업장·기업 등 선정 → 분야별 청년 인턴십 채용·운영 → 사후관리로 진행됨
사업기간은 약1년이며 도봉구 미취업 청년(19~45세) 총 19명을 대상으로함
총사업비는 163백만원이 투입되어 진행됨","2024년부터 지원대상을 확대·저소득 배려전형을 신설함으로써 참여 문턱을 낮추고 일경험의 기회는 확충하여 해외 실무 경험 축적 및 직무 커리어와 글로벌 역량을 강화함
공직이나 일반 취업준비 시 실무경력으로 인정받을 수 있도록 단순 행정업무가 아닌 개인별 취업 역량을 강화하고 직무와 연계가 가능한 사업장을 선별하였고, 사업장에서 서류 및 면접 심사에 직접 참여하여 필요한 인재를 선발 운영함
관내 중소기업에는 인턴 인건비를 지원하여 기업별 약 14백만 원 이상의 재정적 지원을 하고, 도봉구 청년인턴들에게 기업 실무의 경험을 제공하여 경력직을 선호하는 채용시장에서 취업 경쟁력 강화에 기여함"
2023,서울특별시 종로구,교통,도로 노면표시 전국 일괄 개선으로 교통사고 감소 및 국민의 생명과 재산 보호,"낯선 길을 운전하다 보면 횡단보도, 진행방향 등 노면표시가 훼손되거나 잘못 표시되어 있어 교통사고를 유발하거나 역주행을 하는 아찔한 순간이 발생함
국민권익위원회는 최근 5년간 교통 민원 1,535건 분석을 토대로 도로 노면표시 개선을 추진함","국민권익위원회는 경찰청, 도로교통공단 및 지자체 등 도로관리청과 협업하여 전국 도로 노면표시 일제 정비를 추진함
도로 노면에 차로 유도선과 색깔 유도선 설치 및 교차로 앞 직진금지 차로에 대해서는 30~50m 앞에 직진금지 노면표시를 설치함
교통신호와 노면표시가 일치하지 않는 곳 개선 및 노면표시가 지워진 곳이나 횡단보도 표시가 훼손된 곳 등을 재도색하는 등 노면표시 개선과 교통안전시설을 보강함","관계기관들의 역할 분담과 협업을 잘 이끌어내 전국적인 개선이 이루어짐
교통사고 위험요소 제거로 안전한 교통문화가 정착됨"
2019,서울특별시 종로구,교육,"눈길 닿는 곳마다 도서관, 책 읽는 도시 종로","도심 특성상 새로운 도서관을 조성할 공간이 부족함
종로구 내 동부와 서부 지역 간의 문화적 불균형이 심화됨
도서관의 도서정보를 확인할 수 있는 온라인 시스템이 없음","노후되고 기능이 쇠퇴한 기존 공간을 활용하여 도서관으로 재탄생시킴
주민들의 다양한 수요를 충족하기 위해 신축 시설을 복합화함
재정난 극복을 위해 공모사업에 적극 대응하여 외부재원을 확보함(3,193백만 원)","지역 내 문화복합공간으로서의 역할을 강화함
지역 특색과 주민의 다양한 의견을 반영한 어학 특화 도서관을 추진 중임
우수사례로서 타 지역에 확산(활용)이 가능함"
2021,서울특별시 성북구,교육,코로나19 극복을 위한 Zoom 활용 비대면 예산학교 운영,"코로나19로 인해 대면강의가 어려워져 주민참여예산제도, 청소년 예산학교 수업을 새로운 방식으로 진행할 필요가 있음
주민들이 편리하게 강의를 수강할 수 있도록 참여방안을 다각화하기 위한 교육 프로그램 운영이 필수적임","주민참여예산 기본/심화과정을 주제로 Zoom프로그램 활용 실시간 온라인 비대면 강의를 4일/2일간 일반주민과 성북구주민참여예산위원, 주민참여예산학교 기본과정수료자를 대상으로 진행함
청소년 예산학교를 Zoom프로그램 활용 실시간 온라인 비대면 강의로 4일간 청소년들을 대상으로 진행함","코로나시대 비대면 온라인 강의를 도입하여 소통을 활성화하고 실질적인 참여를 이끌어 냄 
주민참여예산학교 기본·심화과정 운영결과는 수강생 총 70명 중 61명 수료(수료율 87%)했으며, 청소년 예산학교 운영결과는 수강생 총 14명 중 13명 수료(수료율 93%)함"
2022,서울특별시 성북구,문화,"주민의 삶과 도시의 기록저장소, 성북 마을 아카이브(서울 성북구)","4차 산업혁명 시대를 맞아 이용자 간 쌍방향 소통과 콘텐츠 간 연결성 강화, 콘텐츠 확장을 위해 마을 기록을 체계적으로 관리하는 시스템을 만들 필요가 있었음","성북구는 역사문화 콘텐츠 자산과 디지털 기술을 결합한 '성북 마을 아카이브'를 만듦
성북구의 역사문화 자원, 주민 생활에 관한 기록들을 수집하고 디지털 아카이브 시스템에 보관하여 마을 기록을 체계적으로 관리하고자 함","주민이 직접 주민 기록단에 참여하여 기록의 생산과 보존, 활용의 주체로 민간차원에서 기록물이 생산되었고 이 기록들이 아카이브를 통해 일반 국민에게 공개되면서 자치분권 시대의 주민참여 향상을 꾀함
생산된 콘텐츠는 다른 이용자들에 의해 2차 콘텐츠로 가공되고, 기존에 없던 새로운 유형의 역사문화 자료가 끊임없이 재생산될 수 있는 기반을 마련함"
2023,서울특별시 성북구,청년,"서울시 성북구 | 지역 패션산업과 청년창업, 스마트한 지원으로 성북의 미래까지 키운다","코로나19로 인한 경기 침체로 패션 봉제산업의 경쟁력이 급격히 감소한 가운데, 인력 부족 및 취약한 시설 등의 문제점까지 부각됨
이에 봉제 시장에 활기와 동력을 부여할 새로운 공간의 필요성이 대두함","집적지구에 성북스마트패션산업센터를 개설하여 스마트장비실, 공동작업공간, 샘플제작실 등을 운영하여 봉제산업의 생산성 향상 및 청년창업을 위한 기반을 마련함
청년 의류 제작 전문가 과정을 진행하여 청년창업 인큐베이팅 및 미래인력 양성을 도모함
성북구 지역 공동브랜드인 '유어즈'를 기획하여 성북패션의 제조경쟁력과 디자인 경쟁력을 국내·외에 홍보, 온·오프라인 판로개척 및 전시판매장 운영을 위해 다양한 플랫폼 진출을 시도함","청년 소공인들의 작업 지원 및 청년창업을 지원하는 공유 플랫폼으로서 성북의 봉제산업을 이끄는 주요 거점으로서의 역할을 기대함
공동작업실 및 장비이용 등을 기반으로 소공인 및 주민들의 관계망을 구축함으로써 정보 공유·소통의 공간으로 자리매김 함"
2023,서울특별시 성북구,교통,"서울시 성북구 | 함께 쓰는 주차장, 비어있는 시간과 공간을 공유합니다!","성북구는 재개발, 각종 공사, 법령 사항의 강화 등으로 인해 거주자 우선 주차구역이 꾸준히 감소하고 있음
하지만 주차장 확충과 같은 물리적 해결책은 부지 및 예산확보 등 현실적으로 추진하기 어려운 상황임
이에 성북구는 시간과 공간을 나눠서 이용하는 공유 주차 서비스를 도입을 추진함","성북동길의 공영주차장을 거주자 우선 주차구역으로 변경해 25면의 주차 공간을 확보하여 IoT 센서 기반 공유주차 서비스 사업을 도입함
‘파킹프렌즈’ 어플을 통해 주차 공간 제공자는 공간정보와 공유시간 설정을, 그리고 주차 공간 이용자는 주차공간 검색 및 요금납부가 가능하도록 하여, 성북동길 주차장의 낮시간 및 주말 이용객이 해당 주차면을 활용할 수 있게 함
주차 수급률이 낮은 지역을 중점으로 개방시설물을 조사하고, 건물주나 개방시설 제공자에게 주차시설 개선 보조금 지원 및 운영수익금 지급 등의 인센티브를 제공하여 참여를 유도함으로써 부설주차장 개방 지원사업을 운영하고 있음","주차장 건립 공간 부족과 주차 1면당 소요되는 예산 문제 해결 및 한정된 주차 공간 활용의 극대화로 주차문화를 개선함
번화가, 상업지역에 필요한 공영주차장 역할을 대신하여 주차난 해소 및 주차 공유문화 활성화에 기여함"
2022,서울특별시 성북구,교육 청년 문화,아동·청소년 지역활동 전문가 양성,성북구는 미성년 아이들이 사회적 관계 속에서 배움과 관계 맺기의 역량을 가지려면 교육적 관점을 활동으로 기획하고 실행할 수 있는 전문역량을 갖춘 지역활동가의 필요성을 느낌,"아동·청소년 놀이문화 활성화 사업, 취약계층 지역 청소년 대상 자치·배움 공동체 사업, 청년 활동가 모임을 운영함
고용 청년 인건비 및 성북구 생활임금(월 236,720원) 지원, 사회복지사 자격증/영어회화 강의 등 직무 수행을 위한 교육 훈련비 지원, 직무 수행 컨설팅을 실시함",지역 주도형 청년일자리로 고용된 청년을 중심으로 기관 내 청년모임의 활성화에 기여함
2019,서울특별시 성북구,문화,"성북의 문화공간, 민·관 협치운영으로 주민의 삶에 말을 걸다","보다 많은 주민들의 자치운영 참여 기회 확대를 통한 풀뿌리 문화 민주주의 그룹 육성과 지원 기반 마련이 요구됨
지역 문화 예술 공간의 민관 공동 운영 등 지역기반 협치 모델 개발 필요성이 대두됨","지속 가능한 도시 운영을 위한 행적 혁신 방안으로 시민주체들의 자율적 도시운영, 창조적인 협치를 추진함
문화공간 협치운영을 통해 공유의 형태로 자치운영 경험과 기회를 만들어 민주적이고 창조적인 가치를 창출함
공동체 자산화를 위한 문화 공간 민·관 공동 운영 추진을 통해 관리 중심의 운영에서 권한과 책임을 지역 주체들과 나누는 협력체계를 구축함","시민 자산화 및 공유 공간 조성 확대를 통해 주민참여, 협치 범위를 확장함
민관이 권한과 책임을 주민들과 나누고 협력하는 문화를 강화함
민주적이고 창조적인 가치에 기반한 지역 문화 활성화를 기대함"
2019,서울특별시 성북구,청년,주민이 밀어주고 청년이 이끌어가는 “삼양로의 변화”,"성매매 집결지 인근 ‘불법 유해업소 거리’라는 오명과 부정적 지역 이미지가 오랜 기간 고착됨
주거지와 학교 밀집 지역으로부터 아동·청소년에 유해한 불법 유해업소 퇴출이 20여 년 주민 숙원사업임
청년 일자리 창출 및 도시활력 증진을 통한 지역 경제 활성화를 위해 유해업소 근절을 추진함","청년 창업 공간 및 특화거리를 조성함
유해업소 거리 환경 개선을 위한 고보 조명, 도로안전 경계석을 설치 운영함
가로등 밝기 개선사업 시행, 노후화된 건물 외벽 도색을 통해 도시미관을 조성함
위해업소 단속 TF 신설, 유해업소 근절 실무협의회 구성 및 심야 특별단속 소비자식품 위생감시원을 운영함","주민의 자발적 공동체 구성으로 유해업소 단속 공동 추진 및 창업거리 정책 추진을 공유함
거리환경 개선 및 지역 경제 활성화를 위하여 지역주민·예술가·청년 창업가로 구성된 민관 협치 거버넌스 기반을 구축함
획일적이고 강제적인 단속→물리적 충돌→폐업 후 동종업종 개업’의 악순환의 고리를 끊고 환경의 변화로 도시재생 및 지역경제 활성화를 유도함"
